4/4 22:50:42.827  SPELL_CAST_SUCCESS,0x068000000020E48E,"Cursia",0x514,0x0,0xF130D80C00021DD6,"Warlord Zon'ozz",0x10a48,0x0,44457,"Living Bomb",0x4
4/4 22:50:42.843  SPELL_DAMAGE,0x068000000154C086,"Fellmuh",0x514,0x0,0xF130D80C00021DD6,"Warlord Zon'ozz",0x10a48,0x0,73681,"Unleash Wind",0x1,7469,-1,1,0,0,0,nil,nil,nil
4/4 22:50:43.000  SWING_DAMAGE,0x0680000000767E87,"Illiash",0x511,0x0,0xF130D80C00021DD6,"Warlord Zon'ozz",0x10a48,0x0,4387,-1,1,0,0,0,nil,nil,nil
4/4 22:50:43.000  SPELL_CAST_SUCCESS,0x0680000000A57395,"Miracelwip",0x514,0x0,0xF130D80C00021DD6,"Warlord Zon'ozz",0x10a48,0x0,5570,"Insect Swarm",0x8
4/4 22:50:43.000  SPELL_AURA_APPLIED,0x0680000000A57395,"Miracelwip",0x514,0x0,0x0680000000A57395,"Miracelwip",0x514,0x0,16886,"Nature's Grace",0x8,BUFF
4/4 22:50:43.015  SPELL_AURA_APPLIED,0x06800000005A8C86,"Krümml",0x514,0x0,0x06800000005A8C86,"Krümml",0x514,0x0,89906,"Judgements of the Bold",0x2,BUFF
4/4 22:50:43.027  SPELL_AURA_APPLIED,0x06800000005A8C86,"Krümml",0x514,0x0,0x06800000005A8C86,"Krümml",0x514,0x0,107966,"Titanic Strength",0x1,BUFF
4/4 22:50:43.027  SPELL_ENERGIZE,0x06800000005A8C86,"Krümml",0x514,0x0,0x06800000005A8C86,"Krümml",0x514,0x0,105767,"Virtuous Empowerment",0x2,1,9
4/4 22:50:43.027  SPELL_AURA_APPLIED,0x06800000005A8C86,"Krümml",0x514,0x0,0x06800000005A8C86,"Krümml",0x514,0x0,53657,"Judgements of the Pure",0x2,BUFF
4/4 22:50:43.027  SPELL_DAMAGE,0x06800000002449E3,"Recall",0x512,0x0,0xF130D80C00021DD6,"Warlord Zon'ozz",0x10a48,0x0,63675,"Improved Devouring Plague",0x20,12245,-1,32,0,0,0,nil,nil,nil
4/4 22:50:43.027  SPELL_HEAL,0x06800000002449E3,"Recall",0x512,0x0,0x06800000002449E3,"Recall",0x512,0x0,75999,"Improved Devouring Plague",0x20,1837,1837,0,nil
4/4 22:50:43.027  SPELL_AURA_APPLIED,0x06800000002449E3,"Recall",0x512,0x0,0xF130D80C00021DD6,"Warlord Zon'ozz",0x10a48,0x0,2944,"Devouring Plague",0x20,DEBUFF
4/4 22:50:43.027  SPELL_AURA_APPLIED,0x068000000020E48E,"Cursia",0x514,0x0,0xF130D80C00021DD6,"Warlord Zon'ozz",0x10a48,0x0,44457,"Living Bomb",0x4,DEBUFF
4/4 22:50:43.027  SPELL_AURA_APPLIED,0x068000000154C086,"Fellmuh",0x514,0x0,0x068000000154C086,"Fellmuh",0x514,0x0,109717,"Combat Trance",0x1,BUFF
4/4 22:50:43.027  SPELL_AURA_APPLIED,0x0680000000A57395,"Miracelwip",0x514,0x0,0xF130D80C00021DD6,"Warlord Zon'ozz",0x10a48,0x0,5570,"Insect Swarm",0x8,DEBUFF
